CommonName,ScientificName,Date,Location
Crimson Topaz,Topaza pella,,
Fiery Topaz,Topaza pyra,,
White-necked Jacobin,Florisuga mellivora,4/10/1989,Costa Rica
Black Jacobin,Florisuga fusca,10/10/2017,Brazil
White-tipped Sicklebill,Eutoxeres aquila,10/19/2009,Panama
Buff-tailed Sicklebill,Eutoxeres condamini,,
Saw-billed Hermit,Ramphodon naevius,10/15/2017,Brazil
Hook-billed Hermit,Glaucis dohrnii,,
Bronzy Hermit,Glaucis aeneus,4/13/1989,Costa Rica
Rufous-breasted Hermit,Glaucis hirsutus,,
Band-tailed Barbthroat,Threnetes ruckeri,4/9/1989,Costa Rica
Pale-tailed Barbthroat,Threnetes leucurus,,
Sooty Barbthroat,Threnetes niger,,
Broad-tipped Hermit,Anopetia gounellei,,
White-bearded Hermit,Phaethornis hispidus,8/3/1987,Peru
White-whiskered Hermit,Phaethornis yaruqui,3/18/2017,Ecuador
Green Hermit,Phaethornis guy,10/19/2009,Panama
Tawny-bellied Hermit,Phaethornis syrmatophorus,7/13/2015,Peru
Koepcke's Hermit,Phaethornis koepckeae,,
Needle-billed Hermit,Phaethornis philippii,8/5/1987,Peru
Straight-billed Hermit,Phaethornis bourcieri,,
Long-billed Hermit,Phaethornis longirostris,4/8/1989,Costa Rica
Mexican Hermit,Phaethornis mexicanus,,
Long-tailed Hermit,Phaethornis superciliosus,,
Great-billed Hermit,Phaethornis malaris,7/13/2015,Peru
Pale-bellied Hermit,Phaethornis anthophilus,,
Dusky-throated Hermit,Phaethornis squalidus,10/12/2017,Brazil
Streak-throated Hermit,Phaethornis rupurumii,,
Little Hermit,Phaethornis longuemareus,,
Tapajos Hermit,Phaethornis aethopygus,,
Minute Hermit,Phaethornis idaliae,,
Cinnamon-throated Hermit,Phaethornis nattereri,,
Black-throated Hermit,Phaethornis atrimentalis,7/14/2015,Peru
Stripe-throated Hermit,Phaethornis striigularis,4/9/1989,Costa Rica
Gray-chinned Hermit,Phaethornis griseogularis,3/23/2017,Ecuador
Reddish Hermit,Phaethornis ruber,8/3/1987,Peru
White-browed Hermit,Phaethornis stuarti,,
Buff-bellied Hermit,Phaethornis subochraceus,,
Sooty-capped Hermit,Phaethornis augusti,,
Planalto Hermit,Phaethornis pretrei,,
Scale-throated Hermit,Phaethornis eurynome,10/10/2017,Brazil
Green-fronted Lancebill,Doryfera ludovicae,4/3/1989,Costa Rica
Blue-fronted Lancebill,Doryfera johannae,,
White-throated Wedgebill,Schistes albogularis,,
Geoffroy's Wedgebill,Schistes geoffroyi,7/13/2015,Peru
Hyacinth Visorbearer,Augastes scutatus,,
